,timesteps,ep_reward,num_updates,episodes
152,17,-29.138631524101932,0,152
153,19,-31.769886632417215,0,153
154,22,-44.86503115801028,0,154
155,22,-45.579901975165825,0,155
156,20,-30.40195437707509,0,156
157,17,-26.741593069262773,0,157
158,54,-80.57579951676317,0,158
159,28,-52.87890947718316,0,159
160,154,-277.35624790784925,0,160
161,100,-159.90209672906923,0,161
162,200,-354.63584405569344,0,162
163,20,-30.649705229454923,0,163
164,25,-51.47764828363475,0,164
165,200,-352.96977993379556,0,165
166,19,-30.407477501160976,0,166
167,18,-31.24572311384584,0,167
168,200,-350.43170427795013,1,168
169,16,-26.9868344187921,0,169
170,26,-40.98496648373423,0,170
171,22,-35.547213893055456,0,171
172,20,-39.419712696205124,0,172
173,18,-28.365768316047177,0,173
174,200,-396.5063680820465,0,174
175,166,-324.989696385545,0,175
176,92,-170.13509949696186,0,176
177,17,-26.909524852033105,0,177
178,200,-355.65959085000793,0,178
179,17,-26.749020187605822,0,179
180,16,-25.790863279411703,0,180
181,19,-33.77258297050403,0,181
182,24,-49.3676915712649,0,182
183,188,-359.4207919614978,0,183
184,16,-24.174571918542526,0,184
185,23,-38.145430345425396,0,185
186,19,-32.14298190243628,0,186
187,19,-31.529879146326586,0,187
188,19,-32.71029599202752,0,188
189,18,-32.651574668883896,0,189
190,200,-341.1159363456463,0,190
191,95,-162.57118478404888,0,191
192,17,-29.766794943958264,0,192
193,24,-39.880124226241435,0,193
194,19,-30.48270217357429,0,194
195,21,-36.89768651316182,0,195
196,22,-42.84925196647734,0,196
197,24,-42.577602430598255,0,197
198,84,-137.263096025269,0,198
199,21,-39.16529683412025,0,199
200,200,-364.0851445045648,0,200
201,103,-180.5798304040857,1,201
202,200,-350.7589058345922,0,202
203,200,-364.78916221137536,0,203
204,19,-32.551335641922094,0,204
205,19,-38.209283515366934,0,205
206,20,-37.13550435210329,0,206
207,30,-66.49294528281308,0,207
208,173,-288.63749959643354,0,208
209,16,-25.581392236468513,0,209
210,118,-194.12340985733445,0,210
211,20,-41.954286665680925,0,211
212,24,-42.68530039104933,0,212
213,18,-33.875923768477016,0,213
214,200,-329.0873516571263,0,214
215,16,-27.22929695113234,0,215
216,15,-25.949964995884038,0,216
217,15,-23.959664085907985,0,217
218,22,-41.39995528151091,0,218
219,19,-33.385619801563415,0,219
220,16,-29.236809246283176,0,220
221,125,-198.22476202534025,0,221
222,44,-58.325612359984575,0,222
223,20,-35.19163859572933,0,223
224,17,-30.713519409954444,0,224
225,116,-208.7891055936684,0,225
226,115,-186.47532630774,0,226
